lat,long
37.015,-122.06846
37.01503,-122.06837
37.0151,-122.06828
37.01518,-122.06823
37.01527,-122.06812
37.01532,-122.06798
37.0154,-122.0679
37.01549,-122.06785
37.01557,-122.06775
37.0156,-122.06767
37.01567,-122.06764
37.01571,-122.06759
37.01578,-122.06755
37.01584,-122.06743
37.01587,-122.06741
37.01599,-122.06715
37.0161,-122.06705
37.01615,-122.06699
37.01612,-122.06687
37.01614,-122.06679
37.01617,-122.06673
37.01618,-122.06667
37.0162,-122.06663
37.01629,-122.06653
37.01632,-122.06655
37.0164,-122.06651
37.01642,-122.06642
37.01646,-122.06638
37.01648,-122.06639
37.0165,-122.06635
37.01658,-122.066
37.01658,-122.06596
37.01652,-122.06585
37.01648,-122.06571
37.01646,-122.06561
37.01661,-122.06549
37.01666,-122.0655
37.01674,-122.0655
37.01675,-122.06537
37.01671,-122.06523
37.01665,-122.06514
37.01659,-122.0649
37.01658,-122.06484
37.01661,-122.06473
37.01663,-122.06451
37.01665,-122.06447
37.01672,-122.06453
37.01679,-122.06456
37.01685,-122.06454
