lat,long
37.03611,-122.10661
37.03588,-122.10661
37.03581,-122.10664
37.03575,-122.10664
37.0357,-122.10661
37.03565,-122.10668
37.0356,-122.1067
37.03558,-122.10675
37.0356,-122.10686
37.03558,-122.10698
37.03546,-122.10707
37.03534,-122.10711
37.03521,-122.10709
37.03512,-122.10705
37.03499,-122.10708
37.03492,-122.10713
37.03491,-122.10717
37.03486,-122.10722
37.03475,-122.10728
37.03468,-122.10729
37.03462,-122.10736
37.03453,-122.1074
37.03436,-122.10742
37.03417,-122.10748
37.03404,-122.10748
37.0339,-122.10744
37.03381,-122.10747
37.03375,-122.10754
37.0337,-122.10757
37.03363,-122.10755
37.0336,-122.10752
37.03355,-122.10752
37.0335,-122.10754
37.03343,-122.10758
37.03341,-122.10757
37.03338,-122.10753
37.03331,-122.10751
37.03324,-122.10747
37.03318,-122.1075
37.03311,-122.10751
37.03302,-122.10754
37.03238,-122.10757
37.03227,-122.10756
37.03218,-122.10752
37.03205,-122.10757
37.03198,-122.10757
37.03191,-122.1076
37.03183,-122.10762
37.03171,-122.10773
37.03159,-122.10777
37.03148,-122.10776
37.03131,-122.10767
37.03127,-122.10764
37.03123,-122.10763
37.03117,-122.10765
37.03109,-122.10756
37.03125,-122.10754
37.03116,-122.10755
37.0312,-122.10756
37.03109,-122.1076
37.03089,-122.1076
37.03083,-122.10757
37.03074,-122.10759
37.03072,-122.10763
37.03061,-122.10773
37.03051,-122.10777
37.03042,-122.10775
37.03023,-122.10756
37.03007,-122.10765
37.02999,-122.10774
37.02986,-122.1078
37.02957,-122.10784
37.02954,-122.10787
37.02952,-122.10792
