lat,long
36.99431,-122.06339
36.99452,-122.06357
36.9948,-122.06358
36.99487,-122.0636
36.99498,-122.06368
36.99513,-122.06375
36.9952,-122.06382
36.99526,-122.06391
36.99555,-122.06411
36.99568,-122.06434
36.99577,-122.06444
36.99587,-122.06451
36.99607,-122.06457
36.99625,-122.06454
36.9965,-122.06454
36.99686,-122.06471
36.99693,-122.06476
36.99703,-122.06479
36.99713,-122.06481
36.99733,-122.06481
36.99749,-122.06489
36.99774,-122.06489
36.99798,-122.06499
36.99814,-122.06507
36.99821,-122.06515
36.9983,-122.06518
36.99852,-122.0653
36.99857,-122.06531
36.99864,-122.06529
36.99877,-122.06538
36.99912,-122.06553
36.99933,-122.06566
36.99957,-122.0657
36.99964,-122.06564
36.99984,-122.06557
36.99991,-122.06541
37.00006,-122.06527
37.00015,-122.06522
37.00027,-122.06522
37.00033,-122.06517
37.00037,-122.06507
37.00046,-122.06502
37.00055,-122.06494
37.00063,-122.06484
37.00074,-122.06476
37.00083,-122.06476
37.00083,-122.06472
37.00111,-122.06481
37.0013,-122.06484
37.00134,-122.06487
