lat,long
37.09012,-121.88923
37.09004,-121.88922
37.09002,-121.88916
37.09,-121.88914
37.08989,-121.88909
37.08942,-121.88909
37.08925,-121.88912
37.08877,-121.88908
37.0887,-121.88906
37.08864,-121.88896
37.08811,-121.88886
37.08808,-121.88884
37.088,-121.88875
37.0879,-121.88872
37.08782,-121.88872
37.08768,-121.8888
37.0876,-121.88881
37.08739,-121.8888
37.08727,-121.88883
37.08709,-121.88885
37.08699,-121.8888
37.08685,-121.88881
37.08675,-121.88879
37.08664,-121.88885
37.08649,-121.88886
37.08636,-121.88889
37.08628,-121.88888
37.08621,-121.88885
37.08614,-121.88877
37.08592,-121.88843
37.08584,-121.88825
37.08581,-121.88809
37.08575,-121.88795
37.08571,-121.8878
37.08566,-121.88775
37.0856,-121.88777
37.08554,-121.88775
37.08548,-121.88784
37.08532,-121.88787
37.08515,-121.88782
37.08511,-121.88784
37.08495,-121.88796
37.08474,-121.88809
37.08447,-121.88834
37.0844,-121.88836
37.0843,-121.88836
37.08415,-121.88838
37.08395,-121.88852
37.08385,-121.88853
37.08382,-121.88855
37.08376,-121.88856
37.08374,-121.88858
37.08375,-121.88866
37.08378,-121.88872
37.08379,-121.8889
37.08382,-121.88894
37.08385,-121.88905
37.08385,-121.88913
37.08372,-121.88935
37.08349,-121.88963
37.0834,-121.88977
37.08339,-121.88991
37.08336,-121.88998
37.08322,-121.89006
37.08306,-121.89012
37.08298,-121.89019
37.08272,-121.89016
37.08256,-121.89023
37.08248,-121.89022
37.08228,-121.89024
37.08222,-121.89027
37.08199,-121.8902
37.08186,-121.89005
37.08179,-121.89
37.08166,-121.88995
37.08153,-121.88992
37.08139,-121.8898
37.08126,-121.88965
37.08132,-121.88937
37.08132,-121.8892
37.08135,-121.88905
37.08133,-121.88892
37.08126,-121.88883
37.08116,-121.88879
37.08113,-121.88876
37.081,-121.88856
37.08096,-121.88844
37.08093,-121.88823
37.08093,-121.88814
37.08088,-121.88789
37.08077,-121.88765
37.0808,-121.88745
37.08076,-121.88739
37.08073,-121.88727
37.08077,-121.8871
37.08083,-121.88695
37.08082,-121.88674
37.08096,-121.88659
37.08103,-121.88622
37.081,-121.8861
37.081,-121.88586
37.08089,-121.88571
37.08084,-121.88558
37.08081,-121.88557
37.08056,-121.88578
37.08047,-121.88581
37.08041,-121.8858
37.08028,-121.88571
37.08012,-121.88558
37.08012,-121.8855
37.08009,-121.88543
37.08006,-121.88541
37.07998,-121.8854
37.07995,-121.88541
37.07993,-121.88544
37.0797,-121.88539
37.07944,-121.88538
37.0793,-121.8855
37.07927,-121.8856
37.07919,-121.88572
37.07913,-121.88575
37.07906,-121.88583
37.07896,-121.88589
37.07889,-121.88598
37.07882,-121.88601
37.07862,-121.88616
37.07855,-121.88619
37.07833,-121.88618
37.07816,-121.88609
37.078,-121.88591
37.07783,-121.8859
37.07777,-121.88587
37.07768,-121.88581
37.07758,-121.88569
37.07747,-121.88561
37.07738,-121.88561
37.07735,-121.88559
37.0773,-121.88547
37.07731,-121.8854
37.07738,-121.88531
37.0775,-121.88527
37.07763,-121.88528
37.07775,-121.88534
37.07787,-121.88527
37.07799,-121.88516
37.07811,-121.8849
37.0782,-121.88477
37.07843,-121.88454
37.07849,-121.88442
37.07861,-121.88428
37.07867,-121.88423
37.07891,-121.88414
37.07893,-121.88411
37.07893,-121.88407
37.07876,-121.88401
37.0787,-121.884
37.07857,-121.88401
37.0785,-121.88401
37.07844,-121.88399
37.07828,-121.88391
37.0782,-121.88391
37.07788,-121.88385
37.07781,-121.88379
37.07778,-121.88363
