lat,long
37.02941,-122.06286
37.02936,-122.06282
37.02932,-122.06283
37.02932,-122.06287
37.02921,-122.06297
37.02917,-122.06309
37.0291,-122.06314
37.02909,-122.06316
37.02906,-122.06317
37.02903,-122.06321
37.02901,-122.06321
37.02903,-122.06322
37.02897,-122.06322
37.02896,-122.0632
37.02893,-122.06321
37.02891,-122.0633
37.02886,-122.06335
37.02884,-122.06335
37.02881,-122.06343
37.02877,-122.06348
37.02872,-122.0635
37.02865,-122.06351
37.02853,-122.06358
37.02843,-122.0636
37.02834,-122.06365
37.02828,-122.06374
37.02824,-122.06385
37.02823,-122.06403
37.02827,-122.06412
37.02826,-122.06424
37.02829,-122.06432
37.02827,-122.06431
37.02818,-122.06445
37.02811,-122.06446
37.02811,-122.06449
37.02809,-122.0645
37.028,-122.06451
37.02794,-122.0645
37.02791,-122.06445
37.02783,-122.06439
37.0277,-122.06442
37.02755,-122.0644
37.0275,-122.06436
37.02748,-122.06422
37.02736,-122.0641
37.02725,-122.06402
37.0272,-122.06401
37.02713,-122.06402
37.02708,-122.064
37.02704,-122.06396
37.02706,-122.06389
37.02703,-122.06387
37.027,-122.06381
37.02695,-122.06378
37.0269,-122.0637
37.02677,-122.06367
37.02671,-122.06372
37.02672,-122.06375
37.0267,-122.06378
37.02669,-122.0639
37.02675,-122.06399
37.02681,-122.06415
37.02686,-122.06421
37.02709,-122.06423
37.02713,-122.06428
37.02713,-122.06436
37.02711,-122.0644
37.02713,-122.06445
37.02713,-122.06458
37.0271,-122.06464
37.02709,-122.06465
37.02702,-122.06484
37.02697,-122.0649
37.02688,-122.06495
37.02683,-122.06494
37.02682,-122.06484
37.02676,-122.06466
37.02675,-122.06456
37.02672,-122.06449
37.02668,-122.06448
37.02657,-122.06454
37.02656,-122.06456
37.02658,-122.06463
37.02657,-122.06465
37.0266,-122.0648
37.02655,-122.06486
37.0265,-122.06488
37.02647,-122.06484
37.02648,-122.06487
37.02645,-122.06484
37.02648,-122.06483
37.02647,-122.06481
37.02637,-122.06476
37.02634,-122.06471
37.02632,-122.06471
37.02631,-122.06468
37.02622,-122.06463
37.02619,-122.06458
37.02616,-122.06462
37.02611,-122.06462
37.02609,-122.06476
37.02603,-122.06492
37.02597,-122.06497
37.02589,-122.06497
37.02587,-122.06501
37.02583,-122.06505
37.02573,-122.06507
37.0257,-122.06509
37.02567,-122.06516
37.02565,-122.06517
37.02564,-122.06521
37.02559,-122.06531
37.02549,-122.0653
37.02542,-122.06535
37.02542,-122.06533
37.0254,-122.06532
37.0254,-122.06529
37.02537,-122.06523
37.02535,-122.06523
37.02531,-122.06518
37.02527,-122.06517
37.02524,-122.06512
37.02527,-122.06503
37.02524,-122.06503
37.02524,-122.06501
37.02522,-122.06502
37.02525,-122.06493
37.02524,-122.06483
37.02525,-122.06474
37.02524,-122.0647
37.02517,-122.06466
