lat,long
37.02194,-122.07226
37.02202,-122.07214
37.02216,-122.07206
37.02228,-122.07173
37.02233,-122.07164
37.02234,-122.07159
37.02233,-122.07156
37.02226,-122.07143
37.02224,-122.07131
37.02226,-122.0712
37.02235,-122.07103
37.02239,-122.07083
37.0224,-122.07077
37.02238,-122.07051
37.0224,-122.07038
37.02245,-122.07024
37.02263,-122.06999
37.02267,-122.06989
37.02266,-122.06983
37.02259,-122.06965
37.02261,-122.06954
37.02259,-122.06943
37.02257,-122.06937
37.02258,-122.06926
37.02267,-122.06905
37.02293,-122.06867
37.0231,-122.06852
37.02329,-122.06837
37.02334,-122.06815
37.02342,-122.06803
37.0235,-122.068
37.02353,-122.06802
37.02359,-122.068
37.02379,-122.06788
37.02384,-122.06784
37.02394,-122.06764
37.02409,-122.06746
37.02445,-122.06731
37.02464,-122.06728
37.02476,-122.06729
37.02486,-122.06727
37.02514,-122.06737
37.02528,-122.06738
37.02535,-122.06736
37.0256,-122.06716
37.02618,-122.06679
37.02677,-122.06671
37.02696,-122.06662
37.02714,-122.06666
37.02718,-122.06665
37.02763,-122.06631
37.0279,-122.06614
37.0281,-122.06597
37.02855,-122.06578
37.02875,-122.06564
37.02888,-122.06562
37.02896,-122.06558
37.029,-122.06555
37.02903,-122.0655
37.02905,-122.06544
37.02905,-122.06535
37.02903,-122.06532
37.02906,-122.06506
37.02904,-122.06494
37.02896,-122.06478
37.02896,-122.06472
37.02901,-122.06456
37.0291,-122.06443
37.02925,-122.06441
37.02932,-122.06438
37.02941,-122.06433
37.02955,-122.06415
37.02968,-122.06408
37.02968,-122.06394
