lat,long
37.00634,-122.05476
37.00653,-122.05483
37.00665,-122.05498
37.00669,-122.05498
37.00675,-122.05495
37.00673,-122.05497
37.00673,-122.05501
37.00679,-122.05502
37.00684,-122.05505
37.00686,-122.05508
37.00687,-122.05515
37.00695,-122.05531
37.00705,-122.05541
37.0071,-122.05543
37.00713,-122.05543
37.00711,-122.05541
37.0071,-122.05539
37.00713,-122.0553
37.00716,-122.05525
37.0073,-122.05516
37.00736,-122.05518
37.00748,-122.05532
37.00752,-122.0553
37.00758,-122.0552
37.0076,-122.05497
37.00764,-122.05492
37.00764,-122.05483
37.00765,-122.05482
37.00777,-122.05487
37.00783,-122.05487
37.00785,-122.05495
37.00784,-122.05484
37.00788,-122.0548
37.00798,-122.05473
37.00797,-122.05476
37.00806,-122.05479
37.00806,-122.05484
37.00809,-122.05475
37.00814,-122.05469
37.00824,-122.0548
37.00824,-122.05495
37.00826,-122.05493
37.0083,-122.05496
37.00833,-122.05497
37.00838,-122.05485
37.00841,-122.05464
37.0084,-122.05433
37.00843,-122.05409
37.00852,-122.05389
37.00862,-122.05376
37.0087,-122.05359
37.0087,-122.05353
37.00868,-122.05362
37.00871,-122.05355
37.00869,-122.05341
37.00869,-122.05338
37.00871,-122.0534
37.00872,-122.05338
37.0087,-122.05338
37.00869,-122.05344
37.0087,-122.05347
37.00863,-122.05347
37.00862,-122.05349
37.00865,-122.05347
37.00862,-122.05347
37.00862,-122.05348
37.00862,-122.05347
37.00865,-122.05347
37.00862,-122.05343
37.00873,-122.05345
37.00878,-122.05333
37.00882,-122.05331
37.0089,-122.05345
37.00898,-122.05343
37.00901,-122.05339
37.00908,-122.05341
37.00911,-122.05339
37.00913,-122.0533
37.00923,-122.0532
37.00942,-122.05329
37.0096,-122.05324
37.00969,-122.05319
37.00974,-122.05319
37.00975,-122.05322
37.00973,-122.05327
37.00976,-122.05331
37.00993,-122.05328
37.01004,-122.0533
37.01015,-122.05322
37.01037,-122.05309
37.01045,-122.05302
