lat,long
37.0068,-121.9972
37.00715,-121.9971
37.00723,-121.99709
37.00747,-121.99701
37.00753,-121.99695
37.00759,-121.99694
37.00784,-121.99704
37.00791,-121.99709
37.00799,-121.99715
37.00804,-121.99726
37.00798,-121.99723
37.00778,-121.99709
37.00771,-121.99707
37.00766,-121.99708
37.00762,-121.99709
37.00752,-121.9972
37.00742,-121.99725
37.00731,-121.99733
37.00725,-121.99753
37.00705,-121.99774
37.00686,-121.99776
37.00667,-121.99774
37.00657,-121.99793
37.00656,-121.998
37.00659,-121.99828
37.0067,-121.99881
37.0067,-121.99906
37.00667,-121.99927
37.00663,-121.99935
