lat,long
37.00382,-121.91507
37.00394,-121.91509
37.00408,-121.91516
37.00414,-121.9152
37.00418,-121.91526
37.00428,-121.91527
37.00461,-121.91517
37.00469,-121.91521
37.00477,-121.9152
37.0049,-121.91514
37.005,-121.91513
37.00505,-121.91502
37.00513,-121.91489
37.005,-121.91469
37.00494,-121.91465
37.0049,-121.9146
37.00484,-121.91457
37.00473,-121.91442
37.00466,-121.91443
37.0046,-121.91447
37.00451,-121.9146
37.00449,-121.91438
37.00445,-121.91434
37.00434,-121.91445
37.00428,-121.91444
37.00414,-121.91434
37.00414,-121.91426
37.00412,-121.91418
37.00404,-121.91407
37.00395,-121.91403
37.00391,-121.91396
37.0039,-121.91388
37.00385,-121.91384
37.00377,-121.91358
