lat,long
36.99776,-121.91548
36.99791,-121.91545
36.99812,-121.91544
36.99814,-121.91542
36.9982,-121.91546
36.9982,-121.91544
36.99824,-121.91542
36.99836,-121.91542
36.99846,-121.91539
36.99857,-121.91531
36.99866,-121.91519
36.99873,-121.91503
36.99881,-121.91501
36.99883,-121.91491
36.99893,-121.91482
36.99899,-121.91466
36.99906,-121.91456
36.99912,-121.91442
36.99923,-121.91425
36.99931,-121.91417
36.99943,-121.91399
36.9995,-121.91386
36.99952,-121.91357
36.99949,-121.91347
36.9994,-121.91338
36.99936,-121.91331
36.99933,-121.91321
36.99933,-121.91314
36.9994,-121.91309
36.99959,-121.91306
36.9996,-121.913
36.99963,-121.91296
36.99972,-121.91299
36.99985,-121.91301
36.99994,-121.91309
