lat,long
37.05479,-121.88891
37.05478,-121.88901
37.05485,-121.88912
37.05491,-121.88919
37.05493,-121.8893
37.05504,-121.88931
37.05513,-121.88941
37.05527,-121.88943
37.05532,-121.88946
37.0554,-121.88947
37.05547,-121.88946
37.05563,-121.8894
37.05566,-121.88946
37.05574,-121.88946
37.0558,-121.88948
37.05582,-121.88958
37.05575,-121.88966
37.05567,-121.88967
37.05558,-121.8897
37.05552,-121.88967
37.05526,-121.8897
37.05518,-121.88968
37.05509,-121.8897
37.05503,-121.88973
37.05492,-121.88985
37.05494,-121.88989
37.05506,-121.89036
37.05493,-121.89061
37.05497,-121.89069
37.05499,-121.8908
37.05514,-121.8911
37.05516,-121.89128
37.05515,-121.89138
37.05496,-121.89155
37.05489,-121.89171
37.05494,-121.89178
37.05492,-121.89187
37.05487,-121.89198
37.05469,-121.89218
37.05464,-121.89218
37.05461,-121.89223
37.05458,-121.89237
37.0546,-121.89253
37.05466,-121.89256
37.05471,-121.89264
37.05473,-121.89277
37.05472,-121.89284
37.05469,-121.89291
37.05464,-121.89296
37.05456,-121.89298
37.0543,-121.89313
37.05412,-121.89333
37.05404,-121.89338
37.05392,-121.89355
37.05386,-121.89356
37.05375,-121.89368
37.05372,-121.89377
37.05372,-121.89384
