lat,long
37.0548,-121.88875
37.05481,-121.88894
37.05484,-121.88904
37.05495,-121.88922
37.05512,-121.88935
37.05533,-121.88949
37.05542,-121.88953
37.0556,-121.88959
37.05567,-121.88963
37.05578,-121.8898
37.05569,-121.88979
37.05562,-121.8898
37.05552,-121.88983
37.0554,-121.8899
37.05531,-121.88999
37.05519,-121.89021
37.05515,-121.89043
37.05512,-121.89087
37.05516,-121.89131
37.05516,-121.89156
37.05511,-121.89177
37.05493,-121.89226
37.05489,-121.89235
37.05479,-121.89249
37.05473,-121.89265
37.05472,-121.89273
37.05475,-121.89305
37.05474,-121.89312
37.05468,-121.89323
37.05442,-121.89342
37.05412,-121.8936
37.05393,-121.89376
37.05387,-121.89387
37.05378,-121.89411
37.05372,-121.89422
37.05344,-121.89452
37.05317,-121.89474
37.05307,-121.89491
37.05305,-121.89497
37.05295,-121.89536
37.05293,-121.8956
37.05294,-121.89595
37.05299,-121.8964
37.05309,-121.89674
37.05318,-121.897
37.05323,-121.89724
37.05331,-121.89748
37.0533,-121.89757
37.05332,-121.89766
37.05328,-121.89778
37.05324,-121.89797
37.05326,-121.89807
37.05323,-121.89827
37.05323,-121.89874
37.05338,-121.89927
37.05335,-121.89939
37.05316,-121.89955
37.05306,-121.89959
37.05297,-121.89968
37.05286,-121.89988
37.0529,-121.90015
37.05285,-121.90028
37.0527,-121.90044
37.05258,-121.90054
37.05249,-121.90068
37.05243,-121.9009
37.05242,-121.90111
37.05246,-121.90127
37.05247,-121.9014
37.0524,-121.90155
37.05234,-121.90189
37.05231,-121.90212
37.05234,-121.90219
37.05234,-121.90222
37.05232,-121.90223
37.05223,-121.90223
37.05218,-121.90227
37.05199,-121.90252
37.05183,-121.9028
37.05179,-121.90283
37.05161,-121.9028
37.05155,-121.90289
37.0515,-121.90292
37.05136,-121.90297
37.05101,-121.90314
37.05096,-121.9032
37.05092,-121.90342
37.05081,-121.90368
37.0508,-121.90383
37.0507,-121.90408
37.05062,-121.90423
37.05051,-121.90434
37.05018,-121.90452
37.05014,-121.90458
37.05009,-121.90481
37.05005,-121.90486
37.05003,-121.90492
37.05001,-121.90508
37.04991,-121.90522
37.04979,-121.90526
37.04975,-121.90529
37.04967,-121.90541
37.04948,-121.90546
37.04943,-121.9055
37.04935,-121.90562
37.04929,-121.90565
37.04901,-121.90566
37.04886,-121.90564
37.04882,-121.90597
37.04876,-121.90614
37.04875,-121.90631
37.04871,-121.90635
37.04865,-121.90638
37.04858,-121.90639
37.04848,-121.90638
37.0484,-121.90643
37.04842,-121.90661
37.0484,-121.90669
37.04834,-121.90685
37.04833,-121.90699
37.0483,-121.90711
37.04831,-121.90717
37.04836,-121.90723
37.04856,-121.90771
37.04864,-121.90774
37.0488,-121.90774
37.0489,-121.90777
37.04899,-121.90784
37.04901,-121.90788
37.04898,-121.90804
37.04899,-121.90828
37.04897,-121.9084
37.04883,-121.90873
37.04877,-121.90894
37.04862,-121.90916
37.04856,-121.90934
37.04857,-121.90949
37.04856,-121.90958
37.04843,-121.90985
37.04829,-121.91004
37.04811,-121.91016
37.04792,-121.91019
37.04766,-121.91018
37.04759,-121.91019
37.04727,-121.91034
37.0472,-121.91036
37.04706,-121.91033
37.04679,-121.91019
37.0466,-121.91012
37.04653,-121.91012
37.04632,-121.91017
37.04617,-121.91014
37.04595,-121.90995
37.04586,-121.9099
37.04554,-121.91
37.04539,-121.91002
37.04503,-121.91011
37.0449,-121.91012
37.04478,-121.91011
37.04446,-121.91004
37.04439,-121.90999
37.04431,-121.90987
37.04426,-121.90984
37.04421,-121.90982
37.04415,-121.90986
37.04403,-121.91017
37.04402,-121.91022
37.04404,-121.91032
37.04409,-121.91042
37.04412,-121.91055
37.04411,-121.91075
37.04413,-121.91082
37.04421,-121.91098
37.04423,-121.9111
37.04422,-121.91117
37.04412,-121.91138
37.04407,-121.91153
37.04402,-121.9119
37.04394,-121.91204
37.0438,-121.91218
37.04377,-121.91224
37.04375,-121.9123
37.04375,-121.91237
37.04392,-121.91287
37.04393,-121.91327
37.04391,-121.91338
37.04383,-121.91354
37.04361,-121.91376
37.04357,-121.91383
37.04354,-121.91398
37.04358,-121.9141
37.04375,-121.91428
37.04383,-121.91441
37.044,-121.91504
37.04402,-121.91528
37.04397,-121.91547
37.04383,-121.9156
37.04379,-121.91568
37.04378,-121.91578
37.04381,-121.91592
37.04381,-121.91608
37.04377,-121.91623
37.04373,-121.9163
37.04363,-121.91654
37.04354,-121.91668
37.04352,-121.91675
37.04337,-121.91693
37.04334,-121.91698
37.04337,-121.91731
37.04333,-121.91743
37.04327,-121.91753
37.04319,-121.91753
37.04287,-121.91744
37.0428,-121.91745
37.04259,-121.91758
37.0425,-121.91755
37.04243,-121.91739
37.04242,-121.91724
37.04244,-121.91708
37.04243,-121.91693
37.04231,-121.91682
37.04221,-121.91676
37.04214,-121.91668
37.04209,-121.91654
37.04202,-121.91619
37.04193,-121.91596
37.04182,-121.91591
37.04177,-121.91592
37.04162,-121.91584
37.04144,-121.9158
37.04107,-121.9159
37.04082,-121.91593
37.04041,-121.91591
37.04026,-121.91587
37.04001,-121.91564
37.03987,-121.91547
37.03971,-121.91502
37.03958,-121.91487
37.03949,-121.91481
37.0394,-121.9147
37.03932,-121.91469
37.0392,-121.91454
37.03915,-121.91452
37.03902,-121.91452
37.03897,-121.91449
37.03878,-121.91431
37.03867,-121.91428
37.03846,-121.91426
37.03827,-121.91416
37.03818,-121.91403
37.0381,-121.91385
37.03785,-121.91348
37.03781,-121.91344
37.03771,-121.91339
37.03766,-121.91339
37.03751,-121.91347
37.03733,-121.91351
37.03708,-121.91363
37.03681,-121.91368
37.03673,-121.91372
37.03661,-121.91386
37.03648,-121.91394
37.03643,-121.91399
37.03638,-121.91405
37.03628,-121.91432
37.03623,-121.91434
37.03613,-121.91433
37.03609,-121.9143
37.03568,-121.91381
37.03538,-121.91366
37.03526,-121.91366
37.03514,-121.9137
37.035,-121.91364
37.03487,-121.91362
37.03482,-121.91365
37.03461,-121.91367
37.03454,-121.91366
37.03443,-121.9136
37.03424,-121.91343
37.03402,-121.91347
37.03377,-121.91336
37.03372,-121.91336
37.03367,-121.91337
37.03363,-121.91342
37.03363,-121.91348
37.03371,-121.91366
37.03372,-121.91383
37.03377,-121.91399
37.03379,-121.91415
37.03391,-121.91437
37.034,-121.91449
