lat,long
37.00616,-122.05269
37.00602,-122.05249
37.00598,-122.05238
37.00598,-122.05229
37.006,-122.05215
37.00616,-122.0519
37.00629,-122.05182
37.00639,-122.05173
37.00648,-122.05141
37.0064,-122.051
37.00635,-122.05096
37.00631,-122.05081
37.00627,-122.0507
37.00626,-122.05065
37.0063,-122.05056
37.0063,-122.0505
37.00633,-122.05044
37.0064,-122.05037
37.00645,-122.05041
37.00651,-122.0505
37.00658,-122.0505
37.00682,-122.05041
37.00692,-122.05042
37.00701,-122.05039
37.00709,-122.05023
37.00712,-122.05008
37.0071,-122.04989
37.00708,-122.04983
37.00712,-122.04966
37.0071,-122.04962
37.00708,-122.04948
37.00711,-122.04934
37.00721,-122.04906
37.00723,-122.04891
37.00726,-122.04886
37.00735,-122.04881
37.00741,-122.04886
37.00761,-122.04881
37.00768,-122.04881
