lat,long
36.96474,-122.08427
36.96517,-122.08423
36.96521,-122.08423
36.96523,-122.08426
36.96514,-122.08428
36.96497,-122.08438
36.96459,-122.08451
36.96452,-122.0846
36.96436,-122.08473
36.96423,-122.08487
36.96413,-122.08495
36.96405,-122.08499
36.96393,-122.08509
36.96381,-122.08521
36.96376,-122.08526
36.96366,-122.08544
36.96356,-122.08576
36.96347,-122.08613
36.96347,-122.08622
36.96349,-122.08627
36.96356,-122.08637
36.96396,-122.08682
36.96404,-122.08694
36.9643,-122.08719
36.96448,-122.0873
36.9646,-122.08734
36.96549,-122.08735
