lat,long
37.00941,-122.05888
37.00941,-122.05857
37.00944,-122.05841
37.00948,-122.05834
37.00951,-122.05825
37.00952,-122.05803
37.00966,-122.05791
37.00969,-122.05784
37.00974,-122.05781
37.00975,-122.05769
37.00996,-122.05765
37.00999,-122.05763
37.01013,-122.05758
37.01021,-122.05751
37.0102,-122.0575
37.01023,-122.05755
37.01029,-122.05756
37.01031,-122.05753
37.01033,-122.05748
37.01031,-122.05744
37.01031,-122.05734
37.0103,-122.05728
37.01031,-122.05721
37.0103,-122.05706
37.01036,-122.05704
37.01036,-122.057
37.01034,-122.0569
37.01036,-122.0568
37.01037,-122.05678
37.01036,-122.05675
37.01037,-122.05671
37.01046,-122.05654
37.01059,-122.05647
37.01064,-122.05635
37.01076,-122.05618
37.01091,-122.05612
37.01111,-122.05608
37.01119,-122.05596
37.0112,-122.056
37.01139,-122.056
37.0115,-122.05608
37.01151,-122.05614
37.01159,-122.0562
37.01168,-122.05617
37.01172,-122.05618
37.01177,-122.05616
37.01187,-122.05618
37.01191,-122.05615
37.01196,-122.05615
37.01204,-122.05617
37.01206,-122.05622
37.01206,-122.05631
37.01208,-122.05631
37.01216,-122.05627
37.01212,-122.05624
37.01208,-122.05626
37.01212,-122.05627
37.01208,-122.05626
37.01206,-122.05618
37.01197,-122.05608
37.01195,-122.05598
37.01187,-122.05591
37.01185,-122.05595
37.0118,-122.05599
37.01175,-122.05597
37.0116,-122.05589
37.01157,-122.05584
37.01163,-122.0557
37.01166,-122.05558
37.0116,-122.05559
37.01152,-122.05556
37.01144,-122.05535
37.01151,-122.05515
37.0115,-122.05507
37.01163,-122.05505
37.01168,-122.05499
37.01171,-122.05488
37.01183,-122.05482
37.01188,-122.05477
37.01191,-122.05483
37.01196,-122.0548
37.01198,-122.05482
37.01199,-122.05484
37.01201,-122.05484
