lat,long
36.99846,-122.00287
36.99848,-122.0026
36.99847,-122.00245
36.99852,-122.00223
36.9985,-122.00209
36.99851,-122.00196
36.99882,-122.00155
36.99895,-122.0013
36.99919,-122.00097
36.99924,-122.00086
36.99926,-122.00058
36.99934,-122.00046
36.9994,-122.00042
36.99964,-122.00045
36.99978,-122.00038
36.9998,-122.00028
36.99975,-122.00002
36.99972,-121.99992
36.99963,-121.99981
36.99962,-121.99995
36.99958,-122.00002
36.99953,-122.00005
36.99939,-122.00003
36.99921,-122.00007
36.99907,-122.00015
36.99905,-122.00049
36.99875,-122.0009
36.99856,-122.00099
36.99815,-122.00098
36.99795,-122.00161
36.99789,-122.00169
36.99773,-122.00194
36.99771,-122.00214
36.99769,-122.00219
36.9974,-122.00252
36.99731,-122.00278
36.99735,-122.00298
36.99746,-122.00314
36.99742,-122.00354
36.99737,-122.00367
36.99738,-122.00398
36.99731,-122.0042
36.99722,-122.00427
36.99708,-122.00431
36.99702,-122.00438
36.99694,-122.00473
36.99683,-122.00481
36.99671,-122.00517
36.99665,-122.00573
36.99666,-122.00592
36.9967,-122.00618
36.99683,-122.00647
36.99701,-122.00674
36.99707,-122.00686
36.99694,-122.00727
36.99689,-122.00733
36.99686,-122.00763
36.99688,-122.00795
36.99698,-122.00829
36.99678,-122.00836
36.99673,-122.00836
36.99633,-122.00877
36.99582,-122.00894
36.99569,-122.00904
36.99557,-122.00929
36.99547,-122.00963
36.99522,-122.00977
36.99498,-122.00996
36.99476,-122.01027
36.99433,-122.01047
36.99441,-122.01052
36.99445,-122.01051
36.99479,-122.01069
36.99483,-122.01066
36.99492,-122.01042
36.99501,-122.01032
36.99532,-122.01034
36.99544,-122.0103
36.99559,-122.01004
36.99558,-122.00985
36.9956,-122.00972
36.99571,-122.00938
36.9958,-122.00928
36.99586,-122.00923
36.99613,-122.00929
36.99616,-122.00929
36.9962,-122.00925
36.99651,-122.0086
36.99661,-122.00865
36.99668,-122.00871
36.99692,-122.00878
36.99712,-122.00864
36.99721,-122.00852
36.99722,-122.00819
36.99707,-122.00795
36.99711,-122.00786
36.9973,-122.00769
36.9975,-122.00748
36.99748,-122.00744
36.99738,-122.00696
36.9972,-122.00684
36.99703,-122.00661
36.99701,-122.00656
36.99692,-122.00617
36.99712,-122.00599
36.99711,-122.00593
36.99703,-122.00579
36.99698,-122.00565
36.99698,-122.00561
36.99706,-122.0055
36.99728,-122.00533
36.99727,-122.00503
36.9974,-122.00477
36.99762,-122.00438
36.9976,-122.00412
36.99778,-122.00402
36.99791,-122.00397
36.99798,-122.0039
36.99814,-122.00357
36.99812,-122.00338
36.99802,-122.00316
36.99803,-122.00305
36.99808,-122.00298
36.99816,-122.00296
36.99818,-122.00301
36.99817,-122.00303
36.99834,-122.00339
36.99834,-122.00353
36.99826,-122.00385
36.99806,-122.00406
36.99805,-122.00411
36.99811,-122.00433
36.99805,-122.00456
36.99799,-122.00467
36.99786,-122.00484
36.99788,-122.00491
36.99789,-122.00514
36.99772,-122.00564
36.99767,-122.00601
36.99774,-122.00608
36.9979,-122.00636
36.99782,-122.00685
36.99788,-122.00697
36.99806,-122.00716
36.99812,-122.0073
36.99809,-122.00741
36.99801,-122.00757
36.99778,-122.0077
36.99771,-122.00781
36.99765,-122.00812
36.99764,-122.00832
36.99761,-122.00848
36.99754,-122.00872
36.99743,-122.00886
36.99722,-122.00896
36.99696,-122.00895
36.99684,-122.00901
36.99675,-122.00927
36.99671,-122.00946
36.99669,-122.00948
36.99648,-122.00954
36.99641,-122.00953
36.99632,-122.00948
36.99601,-122.00979
36.99602,-122.01046
36.99604,-122.01047
36.99607,-122.01039
36.99605,-122.01006
36.99614,-122.00995
36.99622,-122.00995
36.99631,-122.00997
36.99648,-122.00993
36.99669,-122.00969
36.99671,-122.00963
36.9968,-122.00947
36.99719,-122.00946
36.9974,-122.0094
36.99751,-122.00934
36.99771,-122.00915
36.9979,-122.00886
36.99805,-122.00848
36.99805,-122.00826
36.99804,-122.00805
36.9982,-122.00779
36.99825,-122.00766
36.99827,-122.00744
36.99826,-122.00729
36.99814,-122.00695
36.99812,-122.00652
36.99805,-122.00614
36.99805,-122.00575
36.99806,-122.00555
36.99817,-122.00522
36.99827,-122.00502
36.99835,-122.00493
36.99851,-122.00443
36.99854,-122.00395
36.99853,-122.00358
36.99851,-122.00347
36.99844,-122.00325
