lat,long
36.98144,-122.09688
36.98137,-122.0969
36.98133,-122.09696
36.98128,-122.09711
36.98105,-122.0974
36.98068,-122.09734
36.98061,-122.09735
36.98054,-122.09739
36.98042,-122.09759
36.98028,-122.09797
36.98022,-122.0982
36.98014,-122.09834
36.97994,-122.09859
36.97983,-122.0987
36.97956,-122.09891
36.97949,-122.09893
36.97933,-122.09895
36.97887,-122.09886
36.97879,-122.09887
36.97872,-122.0989
36.97866,-122.09895
36.97862,-122.09902
36.97864,-122.09941
36.97869,-122.09974
36.97867,-122.09997
36.97854,-122.10041
36.97844,-122.10087
36.97826,-122.10113
36.9782,-122.10119
36.97814,-122.10123
36.97793,-122.10116
36.9777,-122.10115
36.9773,-122.10122
36.97706,-122.1013
36.97655,-122.10153
36.97647,-122.10156
36.97631,-122.10155
36.97617,-122.1015
36.97612,-122.10147
36.97609,-122.10142
36.9761,-122.1013
36.97612,-122.10123
36.97627,-122.10079
36.97631,-122.10056
36.97631,-122.10046
36.97619,-122.10028
36.97594,-122.09995
36.9757,-122.09974
36.97552,-122.09962
36.9752,-122.09933
36.97511,-122.09929
36.97503,-122.09931
36.97487,-122.09936
36.97475,-122.09945
36.97471,-122.09946
36.97469,-122.09944
